year,category,height_average,height_standard deviation,body weight _average,body weight _standard deviation
17,Hyogo,170.6,5.65,62.2,10.54
17,Nara,171.1,5.8,61.4,9.22
17,Wakayama,170.6,5.84,63.2,11.51
17,Tottori,171.2,6.57,62.4,10.23
17,Shimane,170.5,5.86,63.7,10.11
17,Okayama,170.4,6.33,61.5,9.96
17,Hiroshima,169.6,5.41,61.3,9.64
17,Yamaguchi,170,5.63,61.5,9.26
17,Tokushima,170.3,5.68,64.4,12.46
17,Kagawa,170.4,5.87,63.1,10.12
17,Ehime,170.6,5.71,63.6,11.8
17,Kochi,169.7,6.08,61.8,10.67
17,Fukuoka,170.3,6.25,62.1,9.59
17,Saga,170.8,5.71,62.2,9.25
17,Nagasaki,170.7,5.51,63.6,10.78
17,Kumamoto,170.6,5.89,62.5,9.3
17,Oita,170.1,5.91,63.3,10.63
17,Miyazaki,170.1,6.13,63.5,11.23
17,Kagoshima,170.4,5.6,62.2,9.88
17,Okinawa,169.5,6.08,62.8,10.65
