year,category,height_average_1,height_standard deviation_2,body weight _average_3,body weight _standard deviation_4
17,Kyoto,158.4,5.21,51.7,6.89
17,Osaka,157.8,5.3,52.6,7.68
17,Hyogo,157.9,5.5,52.3,7.75
17,Nara,158.4,5.36,52.5,8.6
17,Wakayama,157.9,4.93,53,7.43
17,Tottori,157.6,5.48,52,7.44
17,Shimane,157.9,5.06,52.5,7.22
17,Okayama,157.3,5.42,52.6,7.16
17,Hiroshima,157.2,5.79,51.9,7.67
17,Yamaguchi,157.5,5.51,51.5,6.94
17,Tokushima,157.4,5.14,53.3,8.72
17,Kagawa,157.1,5.04,52,7.64
17,Ehime,157.3,5.15,53.3,7.39
17,Kochi,156.8,5.61,52.4,8.17
17,Fukuoka,157.9,4.93,52.6,7.48
17,Saga,157.4,5.51,52.9,7.96
17,Nagasaki,157.5,5.36,53.1,7.21
17,Kumamoto,158,5.12,53.1,9.39
17,Oita,158,5.57,54,7.87
17,Miyazaki,156.8,5.48,52.6,7.42
17,Kagoshima,158,5.02,53,7.58
17,Okinawa,156.3,5.83,51.4,8.95
